                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1732,                 3.5291,                 1.5508,                0.78383,                0.67237,                0.76201,                0.33196,                 1.8622,                 2.1094,                 1.3857,              0.0033159,              0.0033159,              0.0033159
                      2,                 1.8918,                 1.9109,                 1.3655,                0.80196,                0.75723,                0.81849,                0.35858,                 1.8563,                 1.6812,                 1.3368,              0.0066486,              0.0066486,              0.0066486
                      3,                 1.8858,                 1.5564,                 1.3153,                0.83777,                0.84662,                0.86906,                0.38773,                 1.8586,                 1.2237,                 1.3026,              0.0099806,              0.0099806,              0.0099806
                      4,                 1.8747,                 1.3412,                 1.3006,                0.87477,                0.85982,                0.90143,                0.40915,                 1.7932,                 1.1515,                 1.2535,               0.009997,               0.009997,               0.009997
                      5,                 1.8417,                  1.193,                 1.2794,                0.78956,                0.76185,                0.83361,                0.34285,                 1.9639,                 1.1078,                 1.3468,               0.009997,               0.009997,               0.009997
                      6,                 1.8166,                 1.0833,                 1.2697,                0.90894,                0.88151,                0.93429,                0.43838,                 1.7916,                0.96859,                 1.2592,               0.009996,               0.009996,               0.009996
                      7,                 1.7793,                 1.0321,                 1.2457,                0.87858,                0.89536,                0.92576,                0.44314,                 1.7525,                0.93514,                 1.2216,              0.0099951,              0.0099951,              0.0099951
                      8,                 1.7516,                0.98739,                 1.2397,                0.91739,                0.89318,                0.94729,                0.45376,                 1.7883,                0.92126,                 1.2422,              0.0099941,              0.0099941,              0.0099941
                      9,                 1.7615,                0.97212,                 1.2387,                0.90321,                 0.9023,                0.94637,                0.46111,                 1.7107,                0.87798,                 1.2111,              0.0099931,              0.0099931,              0.0099931
                     10,                 1.7419,                0.93773,                 1.2528,                 0.9342,                 0.8794,                0.94136,                0.45482,                 1.7541,                0.86831,                 1.2505,              0.0099921,              0.0099921,              0.0099921
